participant_id,session_datetime,difficulty,snake_length,score,score_per_ms,survival_time,target_hit,collisions
2,1/23/2026  10:19:50 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
2,1/23/2026  10:19:50 PM,Level 1,5,-2.5,-0.0005000000,5.0,0,1

1,1/23/2026  10:26:15 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
1,1/23/2026  10:26:15 PM,Level 1,5,-2.5,-0.0005000000,5.0,0,1

1,1/23/2026  10:27:36 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
1,1/23/2026  10:27:36 PM,Level 1,5,0.0,0.0000000000,5.0,0,0

w,1/23/2026  10:32:21 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
w,1/23/2026  10:32:21 PM,Level 1,5,0.0,0.0000000000,5.0,0,0

2,1/23/2026  10:52:58 PM,Trial Run,6,5.0,0.0010000000,5.0,1,0

2,1/23/2026  10:54:58 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
2,1/23/2026  10:54:58 PM,Level 1,5,0.0,0.0000000000,5.0,0,0

l,1/23/2026  10:58:24 PM,Trial Run,6,5.0,0.0005000000,10.0,1,0
l,1/23/2026  10:58:24 PM,Level 1,5,2.5,0.0002500000,10.0,1,1
l,1/23/2026  10:58:24 PM,Level 2,5,7.5,0.0007500000,10.0,2,1
l,1/23/2026  10:58:24 PM,Level 3,6,5.0,0.0005000000,10.0,1,0

0,1/23/2026  10:59:54 PM,Trial Run,5,0.0,0.0000000000,5.0,0,0
0,1/23/2026  10:59:54 PM,Level 1,5,-2.5,-0.0005000000,5.0,0,1
0,1/23/2026  10:59:54 PM,Level 2,7,90.0,0.0009000000,100.0,22,8

